episode,timestep,reward
2,30,0.0
4,50,0.0
6,70,0.0
8,90,0.0
10,110,0.0
12,130,3.0
14,150,0.75
16,170,0.0
18,190,0.0
20,210,2.25
22,230,0.0
24,250,0.0
26,270,1.25
28,290,0.0
30,310,0.0
32,330,0.0
34,350,0.0
36,370,1.25
38,390,0.0
40,410,0.0
42,430,0.5
44,450,0.75
46,470,0.0
48,490,0.25
50,510,1.5
52,530,3.25
54,550,2.0
56,570,0.0
58,590,0.0
60,610,0.0
62,630,0.0
64,650,1.5
66,670,3.0
68,690,0.25
70,710,2.0
72,730,0.0
74,750,0.25
76,770,0.75
78,790,0.0
80,810,0.0
82,830,0.0
84,850,1.5
86,870,1.25
88,890,0.0
90,910,0.0
92,930,1.0
94,950,4.25
96,970,0.0
98,990,0.0
100,1010,0.0
102,1030,2.25
104,1050,0.0
106,1070,0.0
108,1090,2.0
110,1110,0.25
112,1130,0.0
114,1150,1.0
116,1170,0.0
118,1190,1.75
120,1210,1.75
122,1230,1.0
124,1250,0.0
126,1270,2.0
128,1290,0.0
130,1310,3.0
132,1330,0.0
134,1350,1.75
136,1370,1.25
138,1390,2.75
140,1410,2.5
142,1430,3.25
144,1450,0.0
146,1470,2.5
148,1490,2.75
150,1510,0.75
152,1530,1.25
154,1550,3.0
156,1570,2.0
158,1590,1.75
160,1610,1.25
162,1630,1.5
164,1650,2.25
166,1670,1.75
168,1690,3.0
170,1710,1.25
172,1730,1.5
174,1750,0.25
176,1770,3.25
178,1790,0.0
180,1810,3.5
182,1830,0.25
184,1850,4.25
186,1870,3.75
188,1890,3.0
190,1910,2.0
192,1930,4.25
194,1950,3.75
196,1970,1.5
198,1990,3.25
200,2010,1.75
202,2030,3.75
204,2050,2.75
206,2070,3.5
208,2090,3.75
210,2110,1.5
212,2130,3.25
214,2150,3.0
216,2170,3.25
218,2190,2.25
220,2210,2.5
222,2230,4.5
224,2250,1.0
226,2270,4.25
228,2290,1.5
230,2310,6.0
232,2330,3.5
234,2350,2.25
236,2370,5.0
238,2390,2.75
240,2410,3.0
242,2430,3.25
244,2450,3.25
246,2470,4.75
248,2490,5.5
250,2510,5.75
252,2530,6.0
254,2550,4.5
256,2570,5.25
258,2590,3.25
260,2610,4.0
262,2630,4.0
264,2650,5.25
266,2670,6.5
268,2690,4.25
270,2710,6.25
272,2730,2.25
274,2750,4.0
276,2770,5.75
278,2790,5.75
280,2810,3.5
282,2830,4.5
284,2850,8.0
286,2870,3.5
288,2890,7.25
290,2910,3.5
292,2930,4.5
294,2950,4.0
296,2970,6.25
298,2990,4.5
300,3010,5.25
302,3030,7.0
