episode,timestep,reward
2,30,0.0
4,50,0.0
6,70,0.0
8,90,0.0
10,110,1.0
12,130,0.0
14,150,0.0
16,170,0.5
18,190,0.0
20,210,0.5
22,230,1.0
24,250,0.5
26,270,0.0
28,290,1.5
30,310,0.5
32,330,0.0
34,350,0.0
36,370,0.0
38,390,0.0
40,410,0.0
42,430,0.0
44,450,1.0
46,470,0.0
48,490,0.0
50,510,0.0
52,530,0.5
54,550,0.0
56,570,0.0
58,590,0.0
60,610,1.0
62,630,0.5
64,650,2.0
66,670,2.0
68,690,0.5
70,710,0.0
72,730,2.0
74,750,1.0
76,770,1.0
78,790,1.0
80,810,1.0
82,830,2.5
84,850,3.5
86,870,2.0
88,890,1.5
90,910,1.0
92,930,2.5
94,950,5.5
96,970,1.5
98,990,1.5
100,1010,4.0
102,1030,2.5
104,1050,2.5
106,1070,4.5
108,1090,3.5
110,1110,2.0
112,1130,4.0
114,1150,4.0
116,1170,3.0
118,1190,2.5
120,1210,3.0
122,1230,1.0
124,1250,2.5
126,1270,3.0
128,1290,3.5
130,1310,3.5
132,1330,1.5
134,1350,4.5
136,1370,3.5
138,1390,3.0
140,1410,3.0
142,1430,2.5
144,1450,3.0
146,1470,1.5
148,1490,2.0
150,1510,3.0
152,1530,2.5
154,1550,2.5
156,1570,3.0
158,1590,3.0
160,1610,3.5
162,1630,4.5
164,1650,3.5
166,1670,3.0
168,1690,3.0
170,1710,2.5
172,1730,2.5
174,1750,2.5
176,1770,4.0
178,1790,1.0
180,1810,3.0
182,1830,4.0
184,1850,3.5
186,1870,2.5
188,1890,3.0
190,1910,4.0
192,1930,3.5
194,1950,3.5
196,1970,4.0
198,1990,2.5
200,2010,1.5
202,2030,2.0
204,2050,3.0
206,2070,3.5
208,2090,3.0
210,2110,3.0
212,2130,2.5
214,2150,2.5
216,2170,1.5
218,2190,5.0
220,2210,4.5
222,2230,4.0
224,2250,2.5
226,2270,4.0
228,2290,2.5
230,2310,2.5
232,2330,4.5
234,2350,3.5
236,2370,3.0
238,2390,3.0
240,2410,4.0
242,2430,4.5
244,2450,2.5
246,2470,1.0
248,2490,3.0
250,2510,3.5
252,2530,2.5
254,2550,5.0
256,2570,1.5
258,2590,3.0
260,2610,2.0
262,2630,5.0
264,2650,3.5
266,2670,4.0
268,2690,4.5
270,2710,5.0
272,2730,3.5
274,2750,5.0
276,2770,3.5
278,2790,3.5
280,2810,3.5
282,2830,3.0
284,2850,4.0
286,2870,2.5
288,2890,2.0
290,2910,3.5
292,2930,3.0
294,2950,3.5
296,2970,3.0
298,2990,5.5
300,3010,5.0
302,3030,5.5
