episode,timestep,reward
1,20,0.0
3,40,0.0
5,60,0.0
7,80,0.0
9,100,0.0
11,120,0.0
13,140,0.0
15,160,0.0
17,180,0.0
19,200,0.0
21,220,0.0
23,240,0.0
25,260,0.0
27,280,0.0
29,300,0.0
31,320,0.0
33,340,0.0
35,360,0.0
37,380,0.0
39,400,0.0
41,420,0.0
43,440,0.0
45,460,0.0
47,480,0.0
49,500,0.0
51,520,0.0
53,540,0.0
55,560,0.0
57,580,0.0
59,600,0.0
61,620,0.0
63,640,0.0
65,660,0.0
67,680,0.0
69,700,0.0
71,720,0.0
73,740,0.0
75,760,0.0
77,780,0.0
79,800,0.0
81,820,0.0
83,840,0.0
85,860,0.0
87,880,0.0
89,900,0.0
91,920,0.0
93,940,0.0
95,960,0.0
97,980,0.0
99,1000,0.0
101,1020,0.0
103,1040,0.0
105,1060,0.0
107,1080,0.0
109,1100,0.0
111,1120,0.0
113,1140,0.0
115,1160,0.0
117,1180,0.0
119,1200,0.0
121,1220,0.0
123,1240,0.0
125,1260,0.0
127,1280,0.0
129,1300,0.0
131,1320,0.0
133,1340,0.0
135,1360,0.0
137,1380,0.0
139,1400,0.0
141,1420,0.0
143,1440,0.0
145,1460,0.0
147,1480,0.0
149,1500,0.3
151,1520,0.0
153,1540,0.0
155,1560,0.0
157,1580,0.0
159,1600,0.0
161,1620,0.0
163,1640,0.0
165,1660,0.0
167,1680,0.0
169,1700,0.0
171,1720,0.0
173,1740,0.0
175,1760,0.0
177,1780,0.0
179,1800,0.0
181,1820,0.0
183,1840,0.0
185,1860,0.0
187,1880,0.0
189,1900,0.0
191,1920,0.0
193,1940,0.0
195,1960,0.0
197,1980,0.0
199,2000,0.0
201,2020,0.0
203,2040,0.0
205,2060,0.0
207,2080,0.0
209,2100,0.0
211,2120,0.0
213,2140,0.0
215,2160,0.0
217,2180,0.0
219,2200,0.0
221,2220,0.45
223,2240,0.0
225,2260,0.0
227,2280,0.0
229,2300,0.0
231,2320,0.0
233,2340,0.0
235,2360,0.0
237,2380,0.0
239,2400,0.0
241,2420,0.0
243,2440,0.0
245,2460,0.0
247,2480,0.0
249,2500,0.0
251,2520,0.0
253,2540,0.0
255,2560,0.0
257,2580,0.0
259,2600,0.0
261,2620,0.0
263,2640,0.0
265,2660,0.0
267,2680,0.0
269,2700,0.3
271,2720,0.0
273,2740,0.0
275,2760,0.0
277,2780,0.0
279,2800,0.15
281,2820,0.0
283,2840,0.0
285,2860,0.0
287,2880,0.0
289,2900,0.0
291,2920,0.0
293,2940,0.0
295,2960,0.0
297,2980,0.0
299,3000,0.0
301,3020,0.0
303,3040,0.0
305,3060,0.0
307,3080,0.0
309,3100,0.0
311,3120,0.15
313,3140,0.0
315,3160,0.0
317,3180,0.0
319,3200,0.15
321,3220,0.0
323,3240,0.0
325,3260,0.55
327,3280,0.0
329,3300,0.0
331,3320,0.45
333,3340,0.0
335,3360,0.0
337,3380,0.0
339,3400,0.0
341,3420,0.0
343,3440,0.0
345,3460,0.0
