episode,timestep,reward
2,30,-1.1859
4,50,-0.8679
6,70,-1.1536
8,90,-1.2194
10,110,-1.0739
12,130,-1.1267
14,150,-0.9964
16,170,-1.006
18,190,-1.0126
20,210,-0.8274
22,230,-0.3279
24,250,-0.685
26,270,-0.5362
28,290,-0.6191
30,310,-0.8548
32,330,-0.5993
34,350,-0.9856
36,370,-0.8973
38,390,-0.7993
40,410,-1.0205
42,430,-0.8091
44,450,-0.8501
46,470,-0.4721
48,490,-0.7511
50,510,-0.4685
52,530,-0.7146
54,550,-0.6447
56,570,-0.6377
58,590,-0.6696
60,610,-0.3096
62,630,-0.1719
64,650,-0.8147
66,670,-0.9001
68,690,-0.2996
70,710,-0.8393
72,730,-0.8134
74,750,-0.3582
76,770,-0.5008
78,790,-0.6508
80,810,-0.792
82,830,-0.9527
84,850,-0.0342
86,870,-0.8909
88,890,-0.4893
90,910,-0.9397
92,930,-0.9488
94,950,0.2053
96,970,0.0138
98,990,-0.8494
100,1010,-0.96
102,1030,-1.1762
104,1050,-0.5
106,1070,-0.3677
108,1090,-0.5446
110,1110,-0.4265
112,1130,-0.6169
114,1150,-0.5095
116,1170,-1.1437
118,1190,-0.9826
120,1210,-0.8078
122,1230,-0.8049
124,1250,-0.5113
126,1270,-0.3951
128,1290,0.0629
130,1310,-1.0859
132,1330,-1.1437
134,1350,-1.068
136,1370,-1.2532
138,1390,-0.584
140,1410,-0.9508
142,1430,-0.9184
144,1450,-0.5043
146,1470,-0.6337
148,1490,-0.4521
150,1510,-0.9375
152,1530,-0.7651
154,1550,-0.0515
156,1570,-0.9826
158,1590,-0.8605
160,1610,-0.6725
162,1630,0.004
164,1650,-0.9334
166,1670,-0.8211
168,1690,-0.9082
170,1710,-0.6897
172,1730,-0.8985
174,1750,-1.0418
176,1770,0.1839
178,1790,-1.0395
180,1810,-0.8664
182,1830,-1.1533
184,1850,-0.8401
186,1870,-0.7272
188,1890,-0.5079
190,1910,-0.5849
192,1930,-0.6438
194,1950,-0.816
196,1970,-0.8635
198,1990,-0.8201
200,2010,-0.4419
202,2030,-0.9432
204,2050,-0.9502
206,2070,-0.6572
208,2090,-0.8214
210,2110,-0.8781
212,2130,-0.4978
214,2150,-0.6914
216,2170,-0.245
218,2190,-0.5994
220,2210,0.0256
222,2230,-1.1188
224,2250,-0.9671
226,2270,0.0555
228,2290,-1.0646
230,2310,-1.0275
232,2330,-0.6579
234,2350,-1.1871
236,2370,-0.9427
238,2390,-1.0157
240,2410,-0.9856
242,2430,-0.9715
244,2450,-1.1002
246,2470,-0.1811
248,2490,-0.9931
250,2510,-0.9639
252,2530,-0.614
254,2550,-0.667
256,2570,-0.7325
258,2590,-0.7837
260,2610,-0.954
262,2630,-0.961
264,2650,-0.9488
266,2670,-1.0099
268,2690,-0.5604
270,2710,-0.3768
272,2730,-0.989
274,2750,-0.6207
276,2770,-0.6519
278,2790,-1.0128
280,2810,-0.9078
282,2830,-0.5743
284,2850,-0.571
286,2870,-0.9746
288,2890,-1.1371
290,2910,-0.1911
292,2930,-0.072
294,2950,-0.4383
296,2970,-0.2786
298,2990,-0.738
300,3010,-0.3449
302,3030,-1.0445
304,3050,-0.1845
306,3070,-0.5536
308,3090,-1.2398
310,3110,-0.0612
312,3130,-0.6508
314,3150,-0.6386
316,3170,-0.7573
318,3190,0.1538
320,3210,-0.8437
322,3230,-0.0354
324,3250,-0.7153
326,3270,-0.5751
328,3290,-0.9937
330,3310,-1.1011
332,3330,-0.9355
334,3350,-1.0416
336,3370,-0.5966
338,3390,-1.0846
