episode,timestep,reward
2,5,-0.9028
4,10,-0.9307
6,21,-0.4689
8,23,-0.324
10,36,-0.9067
12,38,-0.4833
14,42,-1.0
16,50,-0.6285
18,54,-0.1656
20,57,-0.6462
22,61,-0.9477
24,66,-0.6341
26,71,-0.7742
28,77,-0.6508
30,81,-0.6143
32,88,-1.0
34,92,-0.0657
36,97,-0.6824
38,107,-0.6347
40,114,-0.0283
42,118,-0.7118
44,130,-0.0506
46,140,0.6654
48,146,-0.5573
50,148,-0.6502
52,155,-0.2468
54,164,0.3899
56,171,-0.719
58,176,-0.85
60,181,-0.6261
62,190,-0.3583
64,199,-0.7645
66,204,-0.4625
68,210,-0.3547
70,221,-0.5573
72,226,-0.0914
74,237,1.3149
76,251,0.5689
78,265,-0.6744
80,272,1.9546
82,279,-0.0622
84,284,-0.7463
86,292,-0.0393
88,309,0.3172
90,320,1.9268
92,332,0.1414
94,339,-0.1138
96,341,-0.6632
98,350,-0.5012
100,358,-0.6148
102,362,-0.2569
104,364,-0.9025
106,367,-1.0
108,374,-0.5594
110,379,-0.7485
112,382,-0.3806
114,393,-0.6283
116,404,0.3247
118,421,1.4768
120,436,2.071
122,452,1.1161
124,457,0.4454
126,472,1.1136
128,484,0.1355
130,499,0.8391
132,511,0.8585
134,526,0.9331
136,540,2.0805
138,543,0.0786
140,549,-0.2359
142,558,-0.1106
144,568,-0.5623
146,578,0.0842
148,598,1.2947
150,609,1.7217
152,611,-1.0
154,622,0.7864
156,627,-1.0
158,630,-0.3843
160,641,1.2519
162,650,-0.5026
164,664,0.2642
166,668,1.0302
168,680,1.5983
170,691,0.2432
172,699,-0.5189
174,709,0.5141
176,714,-0.5579
178,719,-0.4195
180,721,-0.9217
182,730,-1.0
184,750,1.8909
186,763,1.1054
188,766,-0.3962
190,771,-1.0
192,779,-0.1159
194,786,-1.0
196,797,-0.2542
198,816,3.3988
200,825,0.3215
202,840,0.5818
204,857,2.364
206,863,1.2291
208,868,-0.6495
210,881,0.6756
212,892,-0.0906
214,895,-0.2097
216,909,-0.454
218,916,1.8296
220,929,0.6906
222,932,-0.5422
224,938,-0.3914
226,957,1.4693
228,971,2.1262
230,977,-0.5576
232,985,-0.3188
234,993,-0.112
236,1004,1.8037
238,1012,-0.6161
240,1020,-0.9006
242,1031,-0.0755
244,1035,0.8622
246,1038,-1.0
248,1049,-0.841
250,1053,0.6544
252,1062,-1.0
254,1066,0.1752
256,1082,-0.5211
258,1091,1.2377
260,1096,-0.2532
262,1100,-0.1971
264,1104,-0.9729
266,1108,-0.8741
268,1126,0.4354
270,1130,0.3587
272,1134,-0.6372
274,1149,0.06
276,1162,2.3782
278,1174,-0.6939
280,1177,0.3621
282,1192,-0.1311
284,1207,2.4523
286,1214,2.1563
288,1228,1.4958
290,1244,-0.0595
292,1252,0.5629
294,1262,0.252
296,1271,0.2242
298,1279,0.0803
300,1285,-0.8806
302,1305,1.3315
304,1319,0.9323
306,1327,1.0258
308,1337,-0.2714
310,1347,0.6817
312,1358,0.5311
314,1369,1.6808
316,1375,-0.658
318,1389,-0.2524
320,1392,1.582
322,1401,0.4483
324,1404,-0.5903
326,1410,-0.4239
328,1412,-1.0
330,1426,0.5762
332,1436,0.1975
334,1442,-0.6997
336,1453,1.2296
338,1459,-1.0
340,1468,0.1309
342,1472,0.6677
344,1480,-0.2728
346,1490,0.0876
348,1496,0.7086
350,1502,-0.7357
352,1507,0.1082
354,1513,-0.398
356,1524,-0.0179
358,1535,1.6756
360,1542,0.1853
362,1553,-0.0676
364,1558,-0.9078
366,1568,0.1314
368,1579,0.7456
370,1596,1.439
372,1602,0.4233
374,1605,-0.8771
376,1610,-0.5993
378,1615,-0.8472
380,1624,0.2179
382,1634,0.5102
384,1644,0.3047
386,1660,0.3826
388,1677,2.6744
390,1681,0.1861
392,1693,1.1235
394,1702,-0.543
396,1717,0.1096
398,1720,0.4498
400,1723,-0.9598
402,1743,0.3977
404,1746,1.4107
406,1750,-0.7805
408,1762,0.8565
410,1773,1.5783
412,1781,-1.0
414,1787,0.7527
416,1793,-0.5777
418,1806,1.7597
420,1823,0.439
422,1835,2.1675
424,1838,-0.9672
426,1844,-0.7744
428,1859,1.4542
430,1867,-0.4612
432,1872,-0.1432
434,1876,-0.3177
436,1883,-0.5099
438,1895,0.4241
440,1898,-0.6644
442,1913,-0.1103
444,1918,-0.3626
446,1930,-0.1408
