episode,timestep,reward
8,20,-0.6447
16,40,-0.3887
26,60,-0.7425
34,80,-0.6203
45,100,-0.5854
55,120,-0.7615
64,140,-0.5702
77,160,-0.859
87,180,-0.6515
96,200,-0.7986
107,220,-0.7714
115,240,-0.5233
124,260,-0.7621
135,280,-0.7839
140,300,0.1266
148,320,-0.5757
156,340,-0.5312
165,360,-0.7056
174,380,-0.7429
185,400,-0.719
192,420,-0.6293
200,440,-0.4974
208,460,-0.5753
219,480,-0.7299
226,500,-0.5554
238,520,-0.665
248,540,-0.7834
255,560,-0.5565
266,580,-0.7894
279,600,-0.8893
290,620,-0.7826
301,640,-0.8051
310,660,-0.5996
321,680,-0.7634
327,700,0.0151
336,720,-0.7104
342,740,0.0659
350,760,-0.3869
363,780,-0.8305
373,800,-0.7016
380,820,-0.5768
390,840,-0.5405
400,860,-0.7151
413,880,-0.8472
423,900,-0.9185
433,920,-0.4129
447,940,-0.9387
459,960,-0.8249
465,980,-0.3884
473,1000,-0.6016
480,1020,-0.8023
490,1040,-0.604
501,1060,-0.8899
509,1080,-0.2685
522,1100,-0.8651
529,1120,-0.3845
540,1140,-0.7243
549,1160,-0.7912
558,1180,-0.4684
564,1200,-0.5401
573,1220,-0.5267
581,1240,-0.5062
585,1260,-0.1225
590,1280,-0.6158
597,1300,-0.5095
607,1320,-0.6555
613,1340,-0.3468
621,1360,-0.4271
628,1380,-0.4038
636,1400,-0.8406
642,1420,0.0538
649,1440,-0.1389
657,1460,-0.6644
666,1480,-0.7743
677,1500,-0.6995
686,1520,-0.7448
694,1540,-0.5625
704,1560,-0.7131
714,1580,-0.7353
722,1600,-0.776
732,1620,-0.7325
740,1640,-0.7513
747,1660,-0.1447
758,1680,-0.8976
768,1700,-0.4623
779,1720,-0.8111
785,1740,-0.3881
797,1760,-0.8675
811,1780,-0.8899
819,1800,-0.7596
829,1820,-0.7383
837,1840,-0.3728
846,1860,-0.701
852,1880,-0.2549
860,1900,-0.7868
868,1920,-0.4958
876,1940,-0.5385
883,1960,-0.5221
