episode,timestep,reward
2,2000,-35.6804
4,4000,-35.2636
6,6000,-38.1051
8,8000,-35.7298
10,10000,-34.6037
12,12000,-36.0438
14,14000,-35.6966
16,16000,-38.0626
18,18000,-38.7695
20,20000,-36.2039
22,22000,-33.3476
24,24000,-36.8783
26,26000,-35.8988
28,28000,-34.4718
30,30000,-35.0364
32,32000,-35.2252
34,34000,-37.5009
36,36000,-34.5417
38,38000,-37.0522
40,40000,-36.8659
42,42000,-36.2278
44,44000,-33.4923
46,46000,-36.283
48,48000,-37.9921
50,50000,-36.3679
52,52000,-37.0779
54,54000,-38.905
56,56000,-39.1889
58,58000,-37.5515
60,60000,-39.8273
62,62000,-36.1806
64,64000,-35.8246
66,66000,-35.8743
68,68000,-36.3941
70,70000,-36.0641
72,72000,-36.9148
74,74000,-35.6146
76,76000,-33.855
78,78000,-35.4692
80,80000,-36.1017
82,82000,-35.9611
84,84000,-35.8311
86,86000,-35.6521
88,88000,-35.4662
90,90000,-36.2283
92,92000,-35.6011
94,94000,-36.5688
96,96000,-35.6446
98,98000,-35.8191
100,100000,-36.4597
102,102000,-36.2396
104,104000,-36.0802
106,106000,-36.1806
108,108000,-38.5997
110,110000,-36.895
112,112000,-38.4185
114,114000,-35.9188
116,116000,-38.0528
118,118000,-35.6073
120,120000,-36.8414
122,122000,-35.1194
124,124000,-36.5972
126,126000,-38.0368
128,128000,-37.0084
130,130000,-37.44
132,132000,-36.888
134,134000,-35.6936
136,136000,-35.5984
138,138000,-34.4618
140,140000,-37.3326
142,142000,-37.794
144,144000,-34.7833
146,146000,-37.2736
148,148000,-36.6124
150,150000,-36.8624
152,152000,-34.9906
154,154000,-35.4079
156,156000,-36.0617
158,158000,-35.6096
160,160000,-37.527
162,162000,-35.2188
164,164000,-37.1531
166,166000,-37.1578
168,168000,-35.1281
170,170000,-36.1789
172,172000,-35.3199
174,174000,-36.8723
176,176000,-37.1873
178,178000,-34.413
180,180000,-34.9707
182,182000,-34.5978
184,184000,-36.2631
186,186000,-38.0263
188,188000,-36.7413
190,190000,-34.6056
192,192000,-36.4187
194,194000,-36.6222
196,196000,-37.946
198,198000,-34.5905
200,200000,-33.7708
202,202000,-36.8556
204,204000,-35.4017
206,206000,-34.7916
208,208000,-37.1079
210,210000,-34.5341
212,212000,-35.8629
214,214000,-36.2604
216,216000,-36.2382
218,218000,-35.2295
220,220000,-36.0881
222,222000,-35.833
224,224000,-34.747
226,226000,-36.6036
228,228000,-35.6498
230,230000,-36.4589
232,232000,-34.0366
234,234000,-37.2053
236,236000,-35.7719
238,238000,-36.2769
240,240000,-36.8572
242,242000,-35.9575
244,244000,-36.3594
246,246000,11.6069
248,248000,19.8073
250,250000,9.0887
252,252000,17.5837
255,254000,75.4183
258,256000,71.5275
261,258000,42.6695
265,260000,83.4656
269,262000,82.3547
274,264000,85.1068
278,266000,80.5129
282,268000,81.5273
287,270000,85.5401
292,272000,83.4367
296,274000,80.5938
301,276000,85.3563
305,278000,83.2417
311,280000,84.0747
315,282000,83.9915
319,284000,81.6028
325,286000,84.0322
